30.296560,-97.715249,Taco Bell 1016 E Anderson Ln
30.393087,-97.727289,Taco Bell 13770 N Highway 183
30.356846,-97.680732,Taco Bell 1548 E. Parmer Lane
30.174752,-97.805417,Taco Bell 161 W Slaughter Ln
30.237782,-97.776322,Taco Bell 1701 W Ben White Blvd
30.393732,-97.726568,Taco Bell 1825 W Parmer Ln
30.275541,-97.722522,Taco Bell 1925 Airport Blvd
30.233471,-97.768609,Taco Bell 201 E. Oltorf
30.223012,-97.734454,Taco Bell 2308 E Riverside Dr
30.393508,-97.703715,Taco Bell 2600 West Braker Lane
30.173679,-97.809487,Taco Bell 3324 Slaughter Lane
30.244477,-97.823305,Taco Bell 3421 W William Cannon Dr
30.423940,-97.682652,Taco Bell 3501 Wells Branch Pkwy
30.376654,-97.733207,Taco Bell 4811 Braker Lane West
30.241387,-97.795931,Taco Bell 502 W William Cannon Dr
30.319678,-97.697116,Taco Bell 5604 Cameron Rd
30.208179,-97.751763,Taco Bell 6511 S I H 35
30.398514,-97.785225,Taco Bell 7515 FM 620 N
30.357257,-97.733477,Taco Bell 7793 Burnet Road
30.387065,-97.720249,Taco Bell 9504 N Lamar
30.473200,-97.727982,Taco Bell 9900 Parmer Lane
